,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game ID,Player A,Player B,Winner,Total Moves
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Hon,Bot,Hon,5
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,Siyang,Bot,Siyang,5
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2,Lauren,Bot,Lauren,5
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,3,Yvonne,Bot,Yvonne,5
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,4,Yusam,Bot,Yusam,9
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,5,1,Bot,1,7
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,6,Jason,Bot,Jason,9
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,7,Jason,Bot,Jason,5
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,8,Hon,Bot,Hon,9
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,9,Jason,Bot,Jason,5
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10,Randy,Bot,Randy,5
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,11,Ben,Bot,Bot,8
12,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,12,Lauren,Bot,Bot,8
13,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,13,Lauren,Bot,Bot,8
14,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,14,Lauren,Bot,Lauren,5
15,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,15,Lauren,Bot,Bot,8
16,16.0,16.0,,,,,,,,,,,,,,,,,,,16,Randy,Bot,Randy,5
17,17.0,,,,,,,,,,,,,,,,,,,,17,Randy,Bot,Randy,7
18,,,,,,,,,,,,,,,,,,,,,18,Siyang,Bot,Siyang,7
